lokasiid,komisi,kegiatanid,kegiatanno,skpdkode,skpdnama,urusankode,urusannama,programkode,programteks,kegiatan,anggaran,vol,satuan,periode_data
5,5,107541,18,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Duren Sawit 16-17,"1,500,000,000",1,Paket,2015
5,5,107543,19,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Jatinegara 01,"1,000,000,000",1,Paket,2015
5,5,107545,20,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SMPN 25,"1,000,000,000",1,Paket,2015
5,5,107547,21,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SMPN 255,"1,000,000,000",1,Paket,2015
5,5,107549,22,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Malaka Jaya 13/15,"1,000,000,000",1,Paket,2015
5,5,107551,23,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,"Penyelesaian Perawatan Berat SDN Rawamangun 01,05, dan 11","1,000,000,000",1,Paket,2015
5,5,107553,24,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Utan Kayu Selatan 07,"1,000,000,000",1,Paket,2015
5,5,107555,25,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Utan Kayu Selatan 27,"1,000,000,000",1,Paket,2015
5,5,107557,26,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Penyelesaian Perawatan Berat SDN Duren sawit 05,"749,999,873",1,Paket,2015
5,5,107559,27,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Malaka Jaya 10,"1,500,000,000",1,Paket,2015
5,5,107561,28,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Pulo Gebang 01/16,"1,000,000,000",1,Paket,2015
5,5,107563,29,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Duren sawit 09,"1,200,000,000",1,Paket,2015
5,5,107565,30,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Kayu Putih 05,"1,000,000,000",1,Paket,2015
5,5,107567,31,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Berat SDN Utan Kayu Selatan 21,"1,000,000,000",1,Paket,2015
5,5,107569,32,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMAN 54,"750,000,000",1,Paket,2015
5,5,107571,33,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMAN 12,"1,000,000,000",1,Paket,2015
5,5,107573,34,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMAN 107,"3,000,000,000",1,Paket,2015
5,5,107575,35,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMAN 103,"3,000,000,000",1,Paket,2015
5,5,107577,36,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMAN 36,"1,500,000,000",1,Paket,2015
5,5,107579,37,1.01.038,Sudin Pendidikan I - JAKTIM,1.01,Pendidikan,1.01.06,Program Peningkatan Sarana dan Prasarana Pendidikan,Perawatan Gedung SMKN 40,"500,000,000",1,Paket,2015
