periode_data,kode_urusan_program,nama_urusan_program,kode_urusan_pelaksana,nama_urusan_pelaksana,kode_skpd,nama_skpd,kode_program,nama_program,kode_kegiatan,nama_kegiatan,nilai_anggaran
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101302,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,109119966
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101302,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,19191707230
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101302,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.1.02,Pengelolaan Pendidikan Sekolah Menengah Kejuruan,7174663671
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101302,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.1.03,Pengelolaan Pendidikan Khusus,284505222
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101302,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.2.01,Pengelolaan Pendidikan Sekolah Dasar,69071216570
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101302,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.2.02,Pengelolaan Pendidikan Sekolah Menengah Pertama,29557430053
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101302,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKBAR,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.2.03,Pengelolaan Pendidikan Anak Usia Dini (PAUD),124922812
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.02,Administrasi Keuangan Perangkat Daerah,6000000
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.06,Administrasi Umum Perangkat Daerah,344128024
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,199811935
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1237122054
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,23533154
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,37039464938
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.1.02,Pengelolaan Pendidikan Sekolah Menengah Kejuruan,14890162716
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.1.03,Pengelolaan Pendidikan Khusus,311496875
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.2.01,Pengelolaan Pendidikan Sekolah Dasar,72680314826
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.2.02,Pengelolaan Pendidikan Sekolah Menengah Pertama,33761057083
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101401,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKSEL,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.2.03,Pengelolaan Pendidikan Anak Usia Dini (PAUD),259448750
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101402,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKSEL,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.02,Administrasi Keuangan Perangkat Daerah,1000000
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101402,SUKU DINAS PENDIDIKAN WILAYAH 2 KOTA - JAKSEL,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.06,Administrasi Umum Perangkat Daerah,254100597
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101000,DINAS PENDIDIKAN,1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,1.01.02.2.04,Pengelolaan Pendidikan Non Formal/Kesetaraan,1.45511E+11
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101101,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKPUS,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.02,Administrasi Keuangan Perangkat Daerah,5000000
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101101,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKPUS,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.06,Administrasi Umum Perangkat Daerah,136586018
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101101,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKPUS,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,180015360
2023,1,URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR,1,URUSAN PEMERINTAHAN BIDANG PENDIDIKAN,10101101,SUKU DINAS PENDIDIKAN WILAYAH 1 KOTA - JAKPUS,1.01.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1474453998
